"triangles","roles","presentation_position","stimid","hm_rotations","decoydist","area1","area2","area3","NorthSouth1","NorthSouth2","NorthSouth3","EastWest1","EastWest2","EastWest3","orientation1","orientation2","orientation3","templatetype1","templatetype2","templatetype3","presentation1","presentation2","presentation3","ppntID","positionchosen","rolechosen","drawtime","responsetime","presentationsequence"
"[{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":50},{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":50,""y3"":100,""x2"":-50},{""base"":97.4679434480896,""height"":48.7339717240448,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":97.4679434480896,""y1"":0,""y2"":48.7339717240448,""y3"":0,""x2"":48.7339717240448}]","[""targ"",""comp"",""decoy""]","[0,1,2]","attraction0.95shapes000",0,"0.95",2500,2500,2374.9999999999995,50,100,48.7339717240448,100,50,97.4679434480896,0,1,0,"equilateral","equilateral","equilateral",0,1,2,"9079612","1","comp",1529957128896,1529957130209,15
"[{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":50},{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":50,""y3"":100,""x2"":-50},{""base"":85,""height"":58.823529411764696,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":85,""y1"":0,""y2"":58.823529411764696,""y3"":0,""x2"":42.5}]","[""targ"",""comp"",""decoy""]","[0,2,1]","compromise-0.15shapes000",0,"-0.15",2500,2500,2500,50,100,58.823529411764696,100,50,85,0,1,0,"equilateral","equilateral","equilateral",0,2,1,"9079612","0","targ",1529957130209,1529957131593,16
"[{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":25},{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":25,""y3"":100,""x2"":-50},{""base"":97.5,""height"":51.2820512820513,""templatetype"":""skew"",""orientation"":0,""x1"":0,""x3"":97.5,""y1"":0,""y2"":51.2820512820513,""y3"":0,""x2"":24.375}]","[""targ"",""comp"",""decoy""]","[2,0,1]","compromise-0.025shapes000",0,"-0.025",2499.999999999999,2499.999999999999,2500.0000000000014,50,100,51.2820512820513,100,50,97.5,0,1,0,"skew","skew","skew",2,0,1,"9079612","2","comp",1529957131593,1529957133120,17
"[{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":25},{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":25,""y3"":100,""x2"":-50},{""base"":85,""height"":58.823529411764696,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":85,""y1"":0,""y2"":58.823529411764696,""y3"":0,""x2"":0}]","[""targ"",""comp"",""decoy""]","[1,0,2]","compromise-0.15shapes001",0,"-0.15",2499.999999999999,2499.999999999999,2499.9999999999995,50,100,58.823529411764696,100,50,85,0,1,0,"skew","skew","rightangle",1,0,2,"9079612","1","targ",1529957133120,1529957134449,18
"[{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":50},{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":0,""y3"":100,""x2"":-50},{""base"":97.5,""height"":51.2820512820513,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":97.5,""y1"":0,""y2"":51.2820512820513,""y3"":0,""x2"":0}]","[""targ"",""comp"",""decoy""]","[2,0,1]","compromise-0.025shapes100",0,"-0.025",2500,2500.000000000002,2500.0000000000014,50,100,51.2820512820513,100,50,97.5,0,1,0,"equilateral","rightangle","rightangle",2,0,1,"9079612","2","comp",1529957134449,1529957135754,19
"[{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":0},{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":0,""y3"":100,""x2"":-50},{""base"":92.19544457292889,""height"":46.097722286464396,""templatetype"":""skew"",""orientation"":0,""x1"":0,""x3"":92.19544457292889,""y1"":0,""y2"":46.097722286464396,""y3"":0,""x2"":23.048861143232223}]","[""targ"",""comp"",""decoy""]","[1,0,2]","attraction0.85shapes001",0,"0.85",2500.000000000002,2500.000000000002,2124.9999999999986,50,100,46.097722286464396,100,50,92.19544457292889,0,1,0,"rightangle","rightangle","skew",1,0,2,"9079612","2","decoy",1529957135754,1529957137609,20
"[{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":50},{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":50,""y3"":100,""x2"":-50},{""base"":102.46950765959599,""height"":51.234753829797995,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":102.46950765959599,""y1"":0,""y2"":51.234753829797995,""y3"":0,""x2"":51.234753829797995}]","[""targ"",""comp"",""decoy""]","[1,2,0]","winner1.05shapes000",0,"1.05",2500,2500,2625.0000000000005,50,100,51.234753829797995,100,50,102.46950765959599,0,1,0,"equilateral","equilateral","equilateral",1,2,0,"9079612","2","targ",1529957137609,1529957138841,21
"[{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":0},{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":50,""y3"":100,""x2"":-50},{""base"":104.880884817015,""height"":52.44044240850761,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":104.880884817015,""y1"":0,""y2"":52.44044240850761,""y3"":0,""x2"":52.4404424085075}]","[""targ"",""comp"",""decoy""]","[0,2,1]","winner1.1shapes100",0,"1.1",2500.000000000002,2500,2749.999999999996,50,100,52.44044240850761,100,50,104.880884817015,0,1,0,"rightangle","equilateral","equilateral",0,2,1,"9079612","1","decoy",1529957138841,1529957140754,22
"[{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":0},{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":25,""y3"":100,""x2"":-50},{""base"":85,""height"":58.823529411764696,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":85,""y1"":0,""y2"":58.823529411764696,""y3"":0,""x2"":42.5}]","[""targ"",""comp"",""decoy""]","[1,2,0]","compromise-0.15shapes012",0,"-0.15",2500.000000000002,2499.999999999999,2500,50,100,58.823529411764696,100,50,85,0,1,0,"rightangle","skew","equilateral",1,2,0,"9079612","0","comp",1529957140754,1529957144346,23
"[{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":0},{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":0,""y3"":100,""x2"":-50},{""base"":107.23805294763599,""height"":53.619026473817996,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":107.23805294763599,""y1"":0,""y2"":53.619026473817996,""y3"":0,""x2"":53.619026473817996}]","[""targ"",""comp"",""decoy""]","[2,1,0]","winner1.15shapes001",0,"1.15",2500.000000000002,2500.000000000002,2874.999999999995,50,100,53.619026473817996,100,50,107.23805294763599,0,1,0,"rightangle","rightangle","equilateral",2,1,0,"9079612","0","decoy",1529957144346,1529957147034,24
"[{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":0},{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":0,""y3"":100,""x2"":-50},{""base"":90,""height"":55.5555555555556,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":90,""y1"":0,""y2"":55.5555555555556,""y3"":0,""x2"":0}]","[""targ"",""comp"",""decoy""]","[0,1,2]","compromise-0.1shapes000",0,"-0.1",2500.000000000002,2500.000000000002,2500.000000000001,50,100,55.5555555555556,100,50,90,0,1,0,"rightangle","rightangle","rightangle",0,1,2,"9079612","1","comp",1529957147034,1529957148995,25
"[{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":25},{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":0,""y3"":100,""x2"":-50},{""base"":107.23805294763599,""height"":53.619026473817996,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":107.23805294763599,""y1"":0,""y2"":53.619026473817996,""y3"":0,""x2"":53.619026473817996}]","[""targ"",""comp"",""decoy""]","[2,1,0]","winner1.15shapes012",0,"1.15",2499.999999999999,2500.000000000002,2874.999999999995,50,100,53.619026473817996,100,50,107.23805294763599,0,1,0,"skew","rightangle","equilateral",2,1,0,"9079612","0","decoy",1529957148995,1529957150443,26
"[{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":50},{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":25,""y3"":100,""x2"":-50},{""base"":90,""height"":55.5555555555556,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":90,""y1"":0,""y2"":55.5555555555556,""y3"":0,""x2"":45}]","[""targ"",""comp"",""decoy""]","[2,0,1]","compromise-0.1shapes010",0,"-0.1",2500,2499.999999999999,2500.000000000002,50,100,55.5555555555556,100,50,90,0,1,0,"equilateral","skew","equilateral",2,0,1,"9079612","2","comp",1529957150443,1529957152155,27
"[{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":25},{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":25,""y3"":100,""x2"":-50},{""base"":97.5,""height"":51.2820512820513,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":97.5,""y1"":0,""y2"":51.2820512820513,""y3"":0,""x2"":0}]","[""targ"",""comp"",""decoy""]","[1,2,0]","compromise-0.025shapes001",0,"-0.025",2499.999999999999,2499.999999999999,2500.0000000000014,50,100,51.2820512820513,100,50,97.5,0,1,0,"skew","skew","rightangle",1,2,0,"9079612","2","targ",1529957152155,1529957153524,28
"[{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":0},{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":50,""y3"":100,""x2"":-50},{""base"":95,""height"":52.631578947368396,""templatetype"":""skew"",""orientation"":0,""x1"":0,""x3"":95,""y1"":0,""y2"":52.631578947368396,""y3"":0,""x2"":23.75}]","[""targ"",""comp"",""decoy""]","[0,1,2]","compromise-0.05shapes012",0,"-0.05",2500.000000000002,2500,2499.9999999999995,50,100,52.631578947368396,100,50,95,0,1,0,"rightangle","equilateral","skew",0,1,2,"9079612","2","decoy",1529957153524,1529957155275,29
"[{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":50},{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":25,""y3"":100,""x2"":-50},{""base"":102.46950765959599,""height"":51.234753829797995,""templatetype"":""skew"",""orientation"":0,""x1"":0,""x3"":102.46950765959599,""y1"":0,""y2"":51.234753829797995,""y3"":0,""x2"":25.617376914898998}]","[""targ"",""comp"",""decoy""]","[1,0,2]","winner1.05shapes100",0,"1.05",2500,2499.999999999999,2625,50,100,51.234753829797995,100,50,102.46950765959599,0,1,0,"equilateral","skew","skew",1,0,2,"9079612","2","decoy",1529957155275,1529957156772,30
"[{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":25},{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":25,""y3"":100,""x2"":-50},{""base"":92.19544457292889,""height"":46.097722286464396,""templatetype"":""skew"",""orientation"":0,""x1"":0,""x3"":92.19544457292889,""y1"":0,""y2"":46.097722286464396,""y3"":0,""x2"":23.048861143232223}]","[""targ"",""comp"",""decoy""]","[2,1,0]","attraction0.85shapes000",0,"0.85",2499.999999999999,2499.999999999999,2124.9999999999986,50,100,46.097722286464396,100,50,92.19544457292889,0,1,0,"skew","skew","skew",2,1,0,"9079612","1","comp",1529957156772,1529957158837,31
"[{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":0},{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":25,""y3"":100,""x2"":-50},{""base"":97.5,""height"":51.2820512820513,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":97.5,""y1"":0,""y2"":51.2820512820513,""y3"":0,""x2"":48.75}]","[""targ"",""comp"",""decoy""]","[1,2,0]","compromise-0.025shapes012",0,"-0.025",2500.000000000002,2499.999999999999,2500.0000000000005,50,100,51.2820512820513,100,50,97.5,0,1,0,"rightangle","skew","equilateral",1,2,0,"9079612","0","comp",1529957158837,1529957160437,32
"[{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":0},{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":25,""y3"":100,""x2"":-50},{""base"":90,""height"":55.5555555555556,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":90,""y1"":0,""y2"":55.5555555555556,""y3"":0,""x2"":45}]","[""targ"",""comp"",""decoy""]","[2,1,0]","compromise-0.1shapes012",0,"-0.1",2500.000000000002,2499.999999999999,2500.000000000002,50,100,55.5555555555556,100,50,90,0,1,0,"rightangle","skew","equilateral",2,1,0,"9079612","0","decoy",1529957160437,1529957162629,33
"[{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":0},{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":25,""y3"":100,""x2"":-50},{""base"":92.19544457292889,""height"":46.097722286464396,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":92.19544457292889,""y1"":0,""y2"":46.097722286464396,""y3"":0,""x2"":46.097722286464446}]","[""targ"",""comp"",""decoy""]","[2,0,1]","attraction0.85shapes012",0,"0.85",2500.000000000002,2499.999999999999,2124.9999999999986,50,100,46.097722286464396,100,50,92.19544457292889,0,1,0,"rightangle","skew","equilateral",2,0,1,"9079612","2","comp",1529957162629,1529957164046,34
"[{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":50},{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":50,""y3"":100,""x2"":-50},{""base"":102.46950765959599,""height"":51.234753829797995,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":102.46950765959599,""y1"":0,""y2"":51.234753829797995,""y3"":0,""x2"":0}]","[""targ"",""comp"",""decoy""]","[0,1,2]","winner1.05shapes001",0,"1.05",2500,2500,2625.0000000000014,50,100,51.234753829797995,100,50,102.46950765959599,0,1,0,"equilateral","equilateral","rightangle",0,1,2,"9079612","1","comp",1529957164046,1529957165590,35
"[{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":50},{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":0,""y3"":100,""x2"":-50},{""base"":107.23805294763599,""height"":53.619026473817996,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":107.23805294763599,""y1"":0,""y2"":53.619026473817996,""y3"":0,""x2"":53.619026473817996}]","[""targ"",""comp"",""decoy""]","[0,2,1]","winner1.15shapes010",0,"1.15",2500,2500.000000000002,2874.999999999995,50,100,53.619026473817996,100,50,107.23805294763599,0,1,0,"equilateral","rightangle","equilateral",0,2,1,"9079612","1","decoy",1529957165590,1529957167428,36
"[{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":50},{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":50,""y3"":100,""x2"":-50},{""base"":107.23805294763599,""height"":53.619026473817996,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":107.23805294763599,""y1"":0,""y2"":53.619026473817996,""y3"":0,""x2"":53.619026473817996}]","[""targ"",""comp"",""decoy""]","[2,0,1]","winner1.15shapes000",0,"1.15",2500,2500,2874.999999999995,50,100,53.619026473817996,100,50,107.23805294763599,0,1,0,"equilateral","equilateral","equilateral",2,0,1,"9079612","0","decoy",1529957167428,1529957169077,37
"[{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":50},{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":25,""y3"":100,""x2"":-50},{""base"":92.19544457292889,""height"":46.097722286464396,""templatetype"":""skew"",""orientation"":0,""x1"":0,""x3"":92.19544457292889,""y1"":0,""y2"":46.097722286464396,""y3"":0,""x2"":23.048861143232223}]","[""targ"",""comp"",""decoy""]","[0,2,1]","attraction0.85shapes100",0,"0.85",2500,2499.999999999999,2124.9999999999986,50,100,46.097722286464396,100,50,92.19544457292889,0,1,0,"equilateral","skew","skew",0,2,1,"9079612","0","targ",1529957169077,1529957171390,38
"[{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":50},{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":50,""y3"":100,""x2"":-50},{""base"":90,""height"":55.5555555555556,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":90,""y1"":0,""y2"":55.5555555555556,""y3"":0,""x2"":0}]","[""targ"",""comp"",""decoy""]","[2,1,0]","compromise-0.1shapes001",0,"-0.1",2500,2500,2500.000000000001,50,100,55.5555555555556,100,50,90,0,1,0,"equilateral","equilateral","rightangle",2,1,0,"9079612","1","comp",1529957171390,1529957173110,39
"[{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":0},{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":25,""y3"":100,""x2"":-50},{""base"":97.4679434480896,""height"":48.7339717240448,""templatetype"":""skew"",""orientation"":0,""x1"":0,""x3"":97.4679434480896,""y1"":0,""y2"":48.7339717240448,""y3"":0,""x2"":24.3669858620224}]","[""targ"",""comp"",""decoy""]","[2,0,1]","attraction0.95shapes100",0,"0.95",2500.000000000002,2499.999999999999,2374.9999999999977,50,100,48.7339717240448,100,50,97.4679434480896,0,1,0,"rightangle","skew","skew",2,0,1,"9079612","2","comp",1529957173110,1529957174727,40
"[{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":50},{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":50,""y3"":100,""x2"":-50},{""base"":95,""height"":52.631578947368396,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":95,""y1"":0,""y2"":52.631578947368396,""y3"":0,""x2"":47.5}]","[""targ"",""comp"",""decoy""]","[2,1,0]","compromise-0.05shapes000",0,"-0.05",2500,2500,2499.9999999999986,50,100,52.631578947368396,100,50,95,0,1,0,"equilateral","equilateral","equilateral",2,1,0,"9079612","1","comp",1529957174727,1529957176071,41
"[{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":0},{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":0,""y3"":100,""x2"":-50},{""base"":104.880884817015,""height"":52.44044240850761,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":104.880884817015,""y1"":0,""y2"":52.44044240850761,""y3"":0,""x2"":0}]","[""targ"",""comp"",""decoy""]","[1,2,0]","winner1.1shapes000",0,"1.1",2500.000000000002,2500.000000000002,2749.9999999999986,50,100,52.44044240850761,100,50,104.880884817015,0,1,0,"rightangle","rightangle","rightangle",1,2,0,"9079612","2","targ",1529957176071,1529957177944,42
"[{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":25},{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":0,""y3"":100,""x2"":-50},{""base"":94.8683298050514,""height"":47.4341649025257,""templatetype"":""skew"",""orientation"":0,""x1"":0,""x3"":94.8683298050514,""y1"":0,""y2"":47.4341649025257,""y3"":0,""x2"":23.71708245126285}]","[""targ"",""comp"",""decoy""]","[2,1,0]","attraction0.9shapes010",0,"0.9",2499.999999999999,2500.000000000002,2250.0000000000014,50,100,47.4341649025257,100,50,94.8683298050514,0,1,0,"skew","rightangle","skew",2,1,0,"9079612","2","targ",1529957177944,1529957179775,43
"[{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":0},{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":25,""y3"":100,""x2"":-50},{""base"":102.46950765959599,""height"":51.234753829797995,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":102.46950765959599,""y1"":0,""y2"":51.234753829797995,""y3"":0,""x2"":0}]","[""targ"",""comp"",""decoy""]","[0,1,2]","winner1.05shapes010",0,"1.05",2500.000000000002,2499.999999999999,2625.0000000000014,50,100,51.234753829797995,100,50,102.46950765959599,0,1,0,"rightangle","skew","rightangle",0,1,2,"9079612","1","comp",1529957179775,1529957182408,44
"[{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":25},{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":50,""y3"":100,""x2"":-50},{""base"":104.880884817015,""height"":52.44044240850761,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":104.880884817015,""y1"":0,""y2"":52.44044240850761,""y3"":0,""x2"":0}]","[""targ"",""comp"",""decoy""]","[1,2,0]","winner1.1shapes012",0,"1.1",2499.999999999999,2500,2749.9999999999986,50,100,52.44044240850761,100,50,104.880884817015,0,1,0,"skew","equilateral","rightangle",1,2,0,"9079612","2","targ",1529957182408,1529957186071,45
"[{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":50},{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":25,""y3"":100,""x2"":-50},{""base"":85,""height"":58.823529411764696,""templatetype"":""skew"",""orientation"":0,""x1"":0,""x3"":85,""y1"":0,""y2"":58.823529411764696,""y3"":0,""x2"":21.25}]","[""targ"",""comp"",""decoy""]","[2,0,1]","compromise-0.15shapes100",0,"-0.15",2500,2499.999999999999,2500,50,100,58.823529411764696,100,50,85,0,1,0,"equilateral","skew","skew",2,0,1,"9079612","2","comp",1529957186071,1529957188416,46
"[{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":0},{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":50,""y3"":100,""x2"":-50},{""base"":107.23805294763599,""height"":53.619026473817996,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":107.23805294763599,""y1"":0,""y2"":53.619026473817996,""y3"":0,""x2"":53.619026473817996}]","[""targ"",""comp"",""decoy""]","[0,1,2]","winner1.15shapes100",0,"1.15",2500.000000000002,2500,2874.999999999995,50,100,53.619026473817996,100,50,107.23805294763599,0,1,0,"rightangle","equilateral","equilateral",0,1,2,"9079612","2","decoy",1529957188416,1529957189887,47
"[{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":50},{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":0,""y3"":100,""x2"":-50},{""base"":85,""height"":58.823529411764696,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":85,""y1"":0,""y2"":58.823529411764696,""y3"":0,""x2"":42.5}]","[""targ"",""comp"",""decoy""]","[0,2,1]","compromise-0.15shapes010",0,"-0.15",2500,2500.000000000002,2500,50,100,58.823529411764696,100,50,85,0,1,0,"equilateral","rightangle","equilateral",0,2,1,"9079612","1","decoy",1529957189887,1529957191744,48
"[{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":0},{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":50,""y3"":100,""x2"":-50},{""base"":104.880884817015,""height"":52.44044240850761,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":104.880884817015,""y1"":0,""y2"":52.44044240850761,""y3"":0,""x2"":0}]","[""targ"",""comp"",""decoy""]","[0,2,1]","winner1.1shapes010",0,"1.1",2500.000000000002,2500,2749.9999999999986,50,100,52.44044240850761,100,50,104.880884817015,0,1,0,"rightangle","equilateral","rightangle",0,2,1,"9079612","1","decoy",1529957191744,1529957193784,49
